avg_box: 0.000225255649718 , has_month: True , has_week: False , has_year: False , heigth: 0.111 , label: 0 , mid_box: 4.19166666667e-05 , num_alpha: 33 , num_box: 118 , num_int: 14 , num_special: 68 , var_box: 2.39226954182e-07 , width: 0.583 
avg_box: 0.000605217948718 , has_month: False , has_week: True , has_year: False , heigth: 0.117666666667 , label: 0 , mid_box: 0.000176 , num_alpha: 55 , num_box: 65 , num_int: 6 , num_special: 16 , var_box: 6.68946329849e-07 , width: 0.6075 
avg_box: 0.000194939393939 , has_month: False , has_week: False , has_year: False , heigth: 0.0523333333333 , label: 0 , mid_box: 0.000170666666667 , num_alpha: 5 , num_box: 11 , num_int: 6 , num_special: 4 , var_box: 7.43526629936e-08 , width: 0.142 
avg_box: 2.02716894977e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0653333333333 , label: 0 , mid_box: 1.33333333333e-05 , num_alpha: 0 , num_box: 73 , num_int: 0 , num_special: 0 , var_box: 4.69562029566e-10 , width: 0.1815 
avg_box: 1.25333333333e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0456666666667 , label: 0 , mid_box: 1e-05 , num_alpha: 0 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 3.47044444444e-11 , width: 0.1325 
avg_box: 4.04444444444e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0653333333333 , label: 0 , mid_box: 7.5e-06 , num_alpha: 0 , num_box: 3 , num_int: 0 , num_special: 0 , var_box: 2.28233950617e-09 , width: 0.1715 
avg_box: 8.91050228311e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.150333333333 , label: 0 , mid_box: 1.2e-05 , num_alpha: 0 , num_box: 73 , num_int: 0 , num_special: 0 , var_box: 1.61826298711e-07 , width: 0.3725 
avg_box: 0.000121248188406 , has_month: False , has_week: False , has_year: False , heigth: 0.300666666667 , label: 0 , mid_box: 1.18333333333e-05 , num_alpha: 0 , num_box: 92 , num_int: 0 , num_special: 0 , var_box: 5.09843482183e-07 , width: 0.5095 
avg_box: 0.0004715 , has_month: False , has_week: False , has_year: False , heigth: 0.0816666666667 , label: 0 , mid_box: 0.0004715 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.1665 
avg_box: 4e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.049 , label: 0 , mid_box: 4e-05 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.201 
avg_box: 0.000375388888889 , has_month: False , has_week: False , has_year: False , heigth: 0.0883333333333 , label: 0 , mid_box: 1.7e-05 , num_alpha: 0 , num_box: 9 , num_int: 0 , num_special: 0 , var_box: 3.77004055556e-07 , width: 0.191 
