avg_box: 0.000142425910269 , has_month: True , has_week: True , has_year: True , heigth: 0.0510204081633 , label: 2 , mid_box: 0.000145921494236 , num_alpha: 17 , num_box: 43 , num_int: 10 , num_special: 10 , var_box: 5.01646240375e-09 , width: 0.360141927853 
avg_box: 0.000142688808072 , has_month: False , has_week: False , has_year: False , heigth: 0.0482374768089 , label: 0 , mid_box: 0.00015634445811 , num_alpha: 15 , num_box: 28 , num_int: 3 , num_special: 4 , var_box: 4.99235493762e-09 , width: 0.245416913069 
avg_box: 0.000105689411557 , has_month: False , has_week: False , has_year: False , heigth: 0.0510204081633 , label: 0 , mid_box: 0.000105326792832 , num_alpha: 36 , num_box: 59 , num_int: 1 , num_special: 6 , var_box: 4.35180702792e-09 , width: 0.403903015967 
avg_box: 4.5257606295e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.188311688312 , label: 0 , mid_box: 4.5257606295e-05 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 9.1033374558e-12 , width: 0.220579538734 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.10667903525 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.10585452395 
avg_box: 7.32130925592e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0677179962894 , label: 0 , mid_box: 7.2137881549e-05 , num_alpha: 41 , num_box: 50 , num_int: 0 , num_special: 5 , var_box: 7.99735989755e-10 , width: 0.168539325843 
avg_box: 0.000125624143534 , has_month: False , has_week: False , has_year: False , heigth: 0.123376623377 , label: 0 , mid_box: 7.84465175781e-05 , num_alpha: 1 , num_box: 10 , num_int: 2 , num_special: 11 , var_box: 2.11088489862e-08 , width: 0.08042578356 
avg_box: 0.000214116478267 , has_month: False , has_week: False , has_year: False , heigth: 0.0547309833024 , label: 0 , mid_box: 0.000215590779078 , num_alpha: 4 , num_box: 16 , num_int: 1 , num_special: 15 , var_box: 1.56141316288e-08 , width: 0.174452986399 
avg_box: 0.000832739955829 , has_month: False , has_week: False , has_year: False , heigth: 0.0936920222635 , label: 1 , mid_box: 0.000979758604157 , num_alpha: 20 , num_box: 29 , num_int: 0 , num_special: 3 , var_box: 2.42168513626e-07 , width: 0.574807806032 
avg_box: 0.000185967618594 , has_month: False , has_week: False , has_year: False , heigth: 0.0510204081633 , label: 0 , mid_box: 9.87438682801e-05 , num_alpha: 0 , num_box: 3 , num_int: 0 , num_special: 0 , var_box: 1.85924758577e-08 , width: 0.0555884092253 
avg_box: 0.000176641808812 , has_month: False , has_week: False , has_year: False , heigth: 0.0714285714286 , label: 0 , mid_box: 0.000140435723776 , num_alpha: 5 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 8.77194587874e-09 , width: 0.08042578356 
