avg_box: 3.66951454612e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 1 , mid_box: 4.27736826953e-05 , num_alpha: 57 , num_box: 80 , num_int: 0 , num_special: 14 , var_box: 6.54036409156e-10 , width: 0.270366886171 
avg_box: 3.76407045282e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0327550312283 , label: 0 , mid_box: 1.99767199401e-05 , num_alpha: 15 , num_box: 23 , num_int: 0 , num_special: 3 , var_box: 1.01707083598e-09 , width: 0.124176857949 
avg_box: 2.8315815106e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0556557945871 , label: 0 , mid_box: 6.92004024069e-06 , num_alpha: 47 , num_box: 76 , num_int: 1 , num_special: 23 , var_box: 3.55618037839e-09 , width: 0.177234242709 
avg_box: 3.5735724316e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 0 , mid_box: 4.13635612877e-05 , num_alpha: 43 , num_box: 64 , num_int: 0 , num_special: 7 , var_box: 4.94424498106e-10 , width: 0.203951081844 
avg_box: 3.05283389995e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 0 , mid_box: 3.91700390982e-05 , num_alpha: 30 , num_box: 43 , num_int: 0 , num_special: 4 , var_box: 4.26261176425e-10 , width: 0.106491063029 
avg_box: 6.08986248449e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0392782789729 , label: 0 , mid_box: 2.91947358079e-05 , num_alpha: 12 , num_box: 23 , num_int: 1 , num_special: 3 , var_box: 2.37870446746e-09 , width: 0.168391345249 
avg_box: 3.77654737246e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0426092990978 , label: 0 , mid_box: 4.51238850412e-05 , num_alpha: 64 , num_box: 94 , num_int: 0 , num_special: 17 , var_box: 5.23170982024e-10 , width: 0.319096895579 
avg_box: 3.04212476571e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0327550312283 , label: 0 , mid_box: 4.15985815223e-05 , num_alpha: 22 , num_box: 32 , num_int: 0 , num_special: 4 , var_box: 4.04432818719e-10 , width: 0.168391345249 
avg_box: 3.47872065514e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 0 , mid_box: 3.72376505027e-05 , num_alpha: 22 , num_box: 31 , num_int: 0 , num_special: 6 , var_box: 5.68294312345e-10 , width: 0.124176857949 
avg_box: 6.07494177525e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0392782789729 , label: 0 , mid_box: 6.40038438865e-05 , num_alpha: 42 , num_box: 67 , num_int: 1 , num_special: 10 , var_box: 2.26589476248e-09 , width: 0.487300094073 
avg_box: 2.97959503615e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 0 , mid_box: 3.91700390982e-05 , num_alpha: 28 , num_box: 43 , num_int: 0 , num_special: 9 , var_box: 4.92383660143e-10 , width: 0.106491063029 
avg_box: 3.06813838659e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 0 , mid_box: 3.27461526861e-05 , num_alpha: 49 , num_box: 72 , num_int: 0 , num_special: 9 , var_box: 4.98195327656e-10 , width: 0.150705550329 
avg_box: 3.1692913857e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0327550312283 , label: 0 , mid_box: 2.40504040063e-05 , num_alpha: 23 , num_box: 36 , num_int: 0 , num_special: 4 , var_box: 5.88291635285e-10 , width: 0.181749764817 
avg_box: 3.21822975554e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0327550312283 , label: 0 , mid_box: 4.01101200366e-05 , num_alpha: 19 , num_box: 27 , num_int: 0 , num_special: 3 , var_box: 3.99659859334e-10 , width: 0.137535277516 
avg_box: 3.36233241677e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0327550312283 , label: 0 , mid_box: 3.88566787854e-05 , num_alpha: 14 , num_box: 22 , num_int: 0 , num_special: 2 , var_box: 5.58477294055e-10 , width: 0.110818438382 
avg_box: 7.08756748483e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0360860513532 , label: 0 , mid_box: 6.81558680309e-05 , num_alpha: 9 , num_box: 13 , num_int: 0 , num_special: 4 , var_box: 1.46012642396e-09 , width: 0.119661335842 
avg_box: 6.91334159632e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0392782789729 , label: 0 , mid_box: 6.92787424851e-05 , num_alpha: 31 , num_box: 46 , num_int: 0 , num_special: 5 , var_box: 2.58417666409e-09 , width: 0.345625587959 
avg_box: 5.62330578843e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0360860513532 , label: 0 , mid_box: 2.96125495583e-05 , num_alpha: 10 , num_box: 19 , num_int: 1 , num_special: 3 , var_box: 2.39064209662e-09 , width: 0.141862652869 
avg_box: 5.70259812071e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0327550312283 , label: 0 , mid_box: 5.51514150503e-05 , num_alpha: 10 , num_box: 14 , num_int: 0 , num_special: 6 , var_box: 1.15222123192e-09 , width: 0.106491063029 
avg_box: 4.71813064767e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0556557945871 , label: 0 , mid_box: 4.56983789479e-05 , num_alpha: 97 , num_box: 151 , num_int: 0 , num_special: 35 , var_box: 1.41087065985e-09 , width: 0.465098777046 
avg_box: 0.000139270871673 , has_month: True , has_week: False , has_year: True , heigth: 0.0426092990978 , label: 2 , mid_box: 0.000127224286991 , num_alpha: 32 , num_box: 69 , num_int: 11 , num_special: 18 , var_box: 1.12141937685e-08 , width: 0.779492003763 
avg_box: 0.000385074927761 , has_month: False , has_week: False , has_year: False , heigth: 0.058986814712 , label: 1 , mid_box: 0.000167334407028 , num_alpha: 21 , num_box: 57 , num_int: 0 , num_special: 2 , var_box: 2.51876248673e-07 , width: 0.81937911571 
avg_box: 0.000722291168745 , has_month: False , has_week: False , has_year: True , heigth: 0.0556557945871 , label: 0 , mid_box: 0.000871964240366 , num_alpha: 0 , num_box: 6 , num_int: 4 , num_special: 0 , var_box: 1.5432092938e-07 , width: 0.159548447789 
avg_box: 5.80975938933e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.160166551006 , label: 1 , mid_box: 2.87246953387e-06 , num_alpha: 102 , num_box: 750 , num_int: 8 , num_special: 94 , var_box: 3.9193214601e-08 , width: 0.894637817498 
avg_box: 3.92483791764e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0785565579459 , label: 0 , mid_box: 4.40271239464e-05 , num_alpha: 62 , num_box: 92 , num_int: 1 , num_special: 13 , var_box: 9.75007572461e-10 , width: 0.225964252117 
