avg_box: 0.00022731719813 , has_month: True , has_week: False , has_year: True , heigth: 0.185264663805 , label: 2 , mid_box: 0.000178826895565 , num_alpha: 72 , num_box: 127 , num_int: 8 , num_special: 23 , var_box: 3.25624183231e-08 , width: 0.960185185185 
avg_box: 0.000130236557275 , has_month: False , has_week: False , has_year: True , heigth: 0.0515021459227 , label: 0 , mid_box: 0.000116568643035 , num_alpha: 7 , num_box: 11 , num_int: 4 , num_special: 6 , var_box: 6.43451620476e-09 , width: 0.130555555556 
avg_box: 0.000142459405693 , has_month: False , has_week: False , has_year: False , heigth: 0.0515021459227 , label: 0 , mid_box: 0.00015498330949 , num_alpha: 8 , num_box: 11 , num_int: 0 , num_special: 0 , var_box: 2.5763862978e-09 , width: 0.121296296296 
avg_box: 0.000480845652519 , has_month: False , has_week: False , has_year: False , heigth: 0.0743919885551 , label: 0 , mid_box: 0.000480845652519 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 2.01055280367e-07 , width: 0.109259259259 
avg_box: 0.000127828114237 , has_month: False , has_week: False , has_year: False , heigth: 0.0615164520744 , label: 0 , mid_box: 4.60313675621e-05 , num_alpha: 0 , num_box: 8 , num_int: 0 , num_special: 0 , var_box: 3.16672737231e-08 , width: 0.10462962963 
avg_box: 0.000160896897306 , has_month: False , has_week: False , has_year: False , heigth: 0.0708154506438 , label: 0 , mid_box: 4.43755629736e-05 , num_alpha: 0 , num_box: 28 , num_int: 0 , num_special: 0 , var_box: 2.16529745919e-07 , width: 0.210185185185 
avg_box: 4.36304509087e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.055078683834 , label: 0 , mid_box: 4.37132411381e-05 , num_alpha: 0 , num_box: 8 , num_int: 0 , num_special: 0 , var_box: 3.74891677146e-10 , width: 0.176851851852 
avg_box: 4.52034652678e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0743919885551 , label: 0 , mid_box: 4.2719758385e-05 , num_alpha: 0 , num_box: 4 , num_int: 0 , num_special: 0 , var_box: 2.18759352186e-10 , width: 0.125925925926 
avg_box: 0.00028810999841 , has_month: False , has_week: False , has_year: False , heigth: 0.0679542203147 , label: 0 , mid_box: 0.00028810999841 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 6.6366416628e-09 , width: 0.134259259259 
avg_box: 0.000770942616436 , has_month: False , has_week: False , has_year: False , heigth: 0.0708154506438 , label: 0 , mid_box: 0.000770942616436 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.138888888889 
avg_box: 0.000158957240502 , has_month: False , has_week: False , has_year: False , heigth: 0.0908440629471 , label: 0 , mid_box: 0.000158957240502 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 1.56697387029e-08 , width: 0.150925925926 
