avg_box: 0.000121920887879 , has_month: True , has_week: True , has_year: False , heigth: 0.0915750915751 , label: 0 , mid_box: 9.90407795142e-05 , num_alpha: 62 , num_box: 124 , num_int: 12 , num_special: 27 , var_box: 7.27341762225e-09 , width: 0.591222879684 
avg_box: 0.000154568983817 , has_month: False , has_week: False , has_year: False , heigth: 0.0523286237572 , label: 0 , mid_box: 0.000169117614173 , num_alpha: 10 , num_box: 20 , num_int: 2 , num_special: 7 , var_box: 9.32237455355e-09 , width: 0.129437869822 
avg_box: 0.00010171536685 , has_month: False , has_week: False , has_year: False , heigth: 0.0458747601605 , label: 0 , mid_box: 8.79024547664e-05 , num_alpha: 9 , num_box: 26 , num_int: 0 , num_special: 2 , var_box: 6.8955341113e-09 , width: 0.180226824458 
avg_box: 0.000115550834063 , has_month: False , has_week: False , has_year: False , heigth: 0.0490144775859 , label: 0 , mid_box: 0.000115017179683 , num_alpha: 61 , num_box: 88 , num_int: 0 , num_special: 15 , var_box: 4.88533327804e-09 , width: 0.74358974359 
avg_box: 0.000160144676597 , has_month: False , has_week: False , has_year: False , heigth: 0.0490144775859 , label: 0 , mid_box: 0.000126607058137 , num_alpha: 25 , num_box: 54 , num_int: 0 , num_special: 5 , var_box: 3.20771824654e-08 , width: 0.591222879684 
avg_box: 3.19106640136e-06 , has_month: False , has_week: False , has_year: False , heigth: 0.0687249258678 , label: 0 , mid_box: 2.40828643196e-06 , num_alpha: 0 , num_box: 99 , num_int: 0 , num_special: 0 , var_box: 4.3863102607e-12 , width: 0.327909270217 
avg_box: 3.68441451615e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.117739403454 , label: 0 , mid_box: 4.47253194506e-06 , num_alpha: 0 , num_box: 287 , num_int: 0 , num_special: 0 , var_box: 1.62738994038e-08 , width: 0.244822485207 
avg_box: 0.000205776166502 , has_month: False , has_week: False , has_year: False , heigth: 0.0620966335252 , label: 0 , mid_box: 0.000154431367449 , num_alpha: 7 , num_box: 13 , num_int: 0 , num_special: 1 , var_box: 8.64071557826e-08 , width: 0.129437869822 
avg_box: 5.07873866025e-06 , has_month: False , has_week: False , has_year: False , heigth: 0.0980289551718 , label: 0 , mid_box: 3.46191174594e-06 , num_alpha: 5 , num_box: 52 , num_int: 1 , num_special: 5 , var_box: 2.97791307397e-11 , width: 0.364891518738 
avg_box: 0.000251470258867 , has_month: False , has_week: False , has_year: False , heigth: 0.0458747601605 , label: 0 , mid_box: 0.000221110798034 , num_alpha: 15 , num_box: 20 , num_int: 0 , num_special: 3 , var_box: 7.03001290628e-08 , width: 0.341715976331 
avg_box: 0.000666766410638 , has_month: False , has_week: False , has_year: False , heigth: 0.0751787894645 , label: 1 , mid_box: 0.000699779228942 , num_alpha: 26 , num_box: 37 , num_int: 0 , num_special: 3 , var_box: 2.97438089171e-07 , width: 0.891272189349 
