avg_box: 0.000109161793372 , has_month: False , has_week: False , has_year: False , heigth: 0.0358333333333 , label: 0 , mid_box: 7.89473684211e-05 , num_alpha: 12 , num_box: 15 , num_int: 8 , num_special: 5 , var_box: 7.738120118e-09 , width: 0.114619883041 
avg_box: 0.000102931620991 , has_month: False , has_week: True , has_year: False , heigth: 0.055 , label: 0 , mid_box: 8.57699805068e-05 , num_alpha: 32 , num_box: 51 , num_int: 18 , num_special: 12 , var_box: 2.46684391918e-09 , width: 0.293567251462 
avg_box: 9.18615984405e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0358333333333 , label: 0 , mid_box: 8.57699805068e-05 , num_alpha: 23 , num_box: 24 , num_int: 0 , num_special: 7 , var_box: 1.39289851135e-09 , width: 0.210526315789 
avg_box: 0.000299260883691 , has_month: False , has_week: False , has_year: False , heigth: 0.065 , label: 0 , mid_box: 0.000327485380117 , num_alpha: 14 , num_box: 24 , num_int: 0 , num_special: 4 , var_box: 4.57931721288e-08 , width: 0.380116959064 
avg_box: 0.00027701197438 , has_month: False , has_week: False , has_year: False , heigth: 0.0458333333333 , label: 0 , mid_box: 0.000295321637427 , num_alpha: 20 , num_box: 28 , num_int: 0 , num_special: 5 , var_box: 3.00505811002e-08 , width: 0.494736842105 
avg_box: 8.8693957115e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.085 , label: 0 , mid_box: 8.8693957115e-05 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.141520467836 
avg_box: 0.000109378384232 , has_month: False , has_week: False , has_year: False , heigth: 0.0391666666667 , label: 0 , mid_box: 0.000109161793372 , num_alpha: 15 , num_box: 18 , num_int: 0 , num_special: 7 , var_box: 2.03065072629e-09 , width: 0.187134502924 
avg_box: 0.000377984892788 , has_month: False , has_week: True , has_year: False , heigth: 0.195833333333 , label: 0 , mid_box: 0.000136452241715 , num_alpha: 104 , num_box: 128 , num_int: 0 , num_special: 24 , var_box: 4.57984522526e-06 , width: 0.687719298246 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0391666666667 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.109941520468 
avg_box: 0.000332335188708 , has_month: False , has_week: False , has_year: False , heigth: 0.241666666667 , label: 0 , mid_box: 0.000131578947368 , num_alpha: 147 , num_box: 166 , num_int: 0 , num_special: 44 , var_box: 1.43625972664e-06 , width: 0.921637426901 
avg_box: 0.00027485380117 , has_month: False , has_week: False , has_year: False , heigth: 0.0583333333333 , label: 0 , mid_box: 0.00027485380117 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 4.68178242878e-08 , width: 0.146198830409 
